HOSPITAL MANAGEMENT SYSTEM BACKUP
Backup Date: Thu May 14 16:47:18 2026
====================================


--- Contents of departments_db.txt ---
1|Cardiology|3|20|0
2|Surgery|2|15|0
3|Pediatrics|2|15|0
4|Orthopedics|1|10|0
5|Emergency|1|10|0

--- Contents of wards_db.txt ---
1|101|Cardiology General Ward|10|0
1|102|Cardiology ICU|5|0
1|103|Cardiology Private Room|5|0
2|201|Surgery General Ward|10|0
2|202|Surgery Private Room|5|0
3|301|Pediatrics General Ward|10|0
3|302|Pediatrics Isolation Ward|5|0
4|401|Orthopedics General Ward|10|0
5|501|Emergency Observation|10|0

--- Contents of beds_db.txt ---
1|101|1|0|-1|
1|101|2|0|-1|
1|101|3|0|-1|
1|101|4|0|-1|
1|101|5|0|-1|
1|101|6|0|-1|
1|101|7|0|-1|
1|101|8|0|-1|
1|101|9|0|-1|
1|101|10|0|-1|
1|102|1|0|-1|
1|102|2|0|-1|
1|102|3|0|-1|
1|102|4|0|-1|
1|102|5|0|-1|
1|103|1|0|-1|
1|103|2|0|-1|
1|103|3|0|-1|
1|103|4|0|-1|
1|103|5|0|-1|
2|201|1|0|-1|
2|201|2|0|-1|
2|201|3|0|-1|
2|201|4|0|-1|
2|201|5|0|-1|
2|201|6|0|-1|
2|201|7|0|-1|
2|201|8|0|-1|
2|201|9|0|-1|
2|201|10|0|-1|
2|202|1|0|-1|
2|202|2|0|-1|
2|202|3|0|-1|
2|202|4|0|-1|
2|202|5|0|-1|
3|301|1|0|-1|
3|301|2|0|-1|
3|301|3|0|-1|
3|301|4|0|-1|
3|301|5|0|-1|
3|301|6|0|-1|
3|301|7|0|-1|
3|301|8|0|-1|
3|301|9|0|-1|
3|301|10|0|-1|
3|302|1|0|-1|
3|302|2|0|-1|
3|302|3|0|-1|
3|302|4|0|-1|
3|302|5|0|-1|
4|401|1|0|-1|
4|401|2|0|-1|
4|401|3|0|-1|
4|401|4|0|-1|
4|401|5|0|-1|
4|401|6|0|-1|
4|401|7|0|-1|
4|401|8|0|-1|
4|401|9|0|-1|
4|401|10|0|-1|
5|501|1|0|-1|
5|501|2|0|-1|
5|501|3|0|-1|
5|501|4|0|-1|
5|501|5|0|-1|
5|501|6|0|-1|
5|501|7|0|-1|
5|501|8|0|-1|
5|501|9|0|-1|
5|501|10|0|-1|

--- Contents of patients_db.txt ---
